question,answer
Formulaire Orange,"Formulaire abonnement Fibre Orange 220803-CC-Formulaire-de-souscription-à-loffre-Fibre-Xéweul-VF.pdf 220803-CC-Formula... 140 ko 7 novembre 2023 Traité 220831CC-Formulaire-de-souscription-à-loffre-Fibre-Max-VF.pdf 220831CC-Formulai... 140 ko 7 novembre 2023 Traité 220831CC-Formulaire-de-souscription-à-loffre-Fibre-Bi-VF.pdf 220831CC-Formulai... 140 ko 7 novembre 2023 Traité 221006CC-Formulaire-de-souscription-à-loffre-Fibre-Premium-VF.pdf 221006CC-Formulai... 140 ko 7 novembre 2023 Traité 220831CC-Formulaire-de-souscription-à-loffre-Fibre-Mega-Plus-VF.pdf 220831CC-Formulai... 140 ko 7 novembre 2023 Traité Formulaire de Cession Orange.pdf Formulaire de Ces... 190 ko 7 novembre 2023 Traité Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/3251287-formulaire-orange pièces jointes: https://dimelo-answers-production.s3.eu-west-1.amazonaws.com/268/456b81660a4b15e9/220803_cc_formulaire_de_souscription_loffre_fibre_x_weul_vf_original.pdf?41fef3c, https://dimelo-answers-production.s3.eu-west-1.amazonaws.com/268/fb9f22389bb95637/220831_cc_formulaire_de_souscription_loffre_fibre_max_vf_original.pdf?41fef3c, https://dimelo-answers-production.s3.eu-west-1.amazonaws.com/268/057bfdac3b9ccccb/220831_cc_formulaire_de_souscription_loffre_fibre_bi_vf_original.pdf?41fef3c, https://dimelo-answers-production.s3.eu-west-1.amazonaws.com/268/5f010488c1dc76f3/221006_cc_formulaire_de_souscription_loffre_fibre_premium_vf_original.pdf?41fef3c, https://dimelo-answers-production.s3.eu-west-1.amazonaws.com/268/d48fa8f521bec83c/220831_cc_formulaire_de_souscription_loffre_fibre_mega_plus_vf_original.pdf?41fef3c, https://dimelo-answers-production.s3.eu-west-1.amazonaws.com/268/69c75f27bc5c65d5/formulaire_de_cession_orange_original.pdf?41fef3c"
Guide d'utilisation #1413# Orange Senegal,"Guide d'utilisation #1413# Orange Senegal Guide d'utilisation #1413#.pdf Guide d'utilisati... 510 ko 26 mai 2023 Traité Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/3182069-guide-utilisation-1413-orange-senegal pièces jointes: https://dimelo-answers-production.s3.eu-west-1.amazonaws.com/268/11f5bdb51cf64b09/guide_d_utilisation_1413__original.pdf?41fef3c"
Comment activer la garantie Samsung E Warranty,"Pour s’enregistrer sur Ewarranty afin de bénéficier de la garantie de 24 mois de Samsung, il suffit d’envoyer par sms Enregistrer*numéro*Imei# au 22023 Coût du SMS: 52F Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/3051587-activer-garantie-samsung-e-warranty"
Contacter le SAMU 1515 sur Iphone,"Désormais, c’est possible pour tout client utilisateur de Téléphone Iphone de joindre les services d’urgence le SAMU en mettant le préfixe +2211515. Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/3043480-contacter-samu-1515-iphone"
Orange Energie avec Kit wifi (Box bi),"Orange offre la possibilité aux habitants des zones rurales couvertes 3G/4G non électrifiées de disposer de l’électricité et du wifi à la maison. Les clients ont la possibilité de recharger leurs kits solaires et d’acheter leur Box directement via le menu USSD Orange Energie d’Orange Money,ils peuvent également acheter des pass via nos applications Orange Money et Orange et Moi. Comment souscrire à la solution ? : Prérequis avoir une Sim Orange et un Compte Orange Money Pour y accéder, il faut : Appeler le service client 800 00 20 40 Remplir le formulaire d’éligibilité, un conseiller vous appellera pour confirmer l’achat et une confirmation vous sera envoyée par SMS sous 48h Payer les frais d’accès au service par Orange Money Orange Energie vous donne rendez-vous pour faire installer votre kit solaire plus la Box et par la même occasion vous faire signer le contrat de souscription sous un délai de 15 jours Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/3038189-orange-energie-kit-wifi-box-bi"
Rechargement des cartes Xéweul par Orange Money,"Orange Money il est désormais possible de recharger les cartes Xéweul pour les autoroutes à péage Ila Touba, AIBD Mbour et Thiès. Rendez-vous sur l’appli OM https://bit.ly/2NC1jpb ou au #144#382# Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/3038075-rechargement-cartes-xeweul-orange-money"
Cash à domicile: Dépôt et retrait Orange Money sans se déplacer,"Le service Cash à domicile vous permet d’effectuer vos opérations Orange Money sans vous déplacer et en toute sécurité Les équipes Orange Money se déplacent chez vous gratuitement pour vous faire leurs dépôts et retraits. Il suffit d’appeler au 33 824 39 39 et un agent viendra à l’adresse voulu dans les 30 minutes pour effectuer l’opération sans frais supplémentaire. Le minimum pour le déplacement initialement fixé à 35000F. Le service est disponible du lundi au samedi de 09 à 18h, partout au Sénégal. Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/3034548-cash-domicile-depot-retrait-orange-money-deplacer"
Illimix semaine 1500F exclusive Jamono New S'cool sur Orange et Moi,"Les clients Jamono New S’cool bénéficient d’un nouvel illimix semaine 1500F exclusivement disponible sur nos applications Orange et Moi et Orange Money Avec ce nouvel illimix, les clients jamono New S’cool ont droit à : 100mn d’appels, 100 sms et 3Go d’internet. L’illimix semaine 1500F ne peut être acheté qu’avec son solde de compte Orange Money depuis nos applications Orange et Moi et Orange Money NB : L'achat pour tiers est disponible entre numéros Jamono New S'cool sur cette offre Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/3006245-illimix-semaine-1500f-exclusive-jamono-new-cool-orange"
Votre wifi Fibre à partir de 14.900/mois,"Votre wifi Fibre à partir de 14.900/mois Le catalogue des offres Fibre s’agrandit avec l’introduction de la nouvelle offre Fibre Xéweul. Profitez dela connexion Wifi illimitée avec la Fibre à partir de 14.900F. Les frais d’accès sont à 25.000F La souscription se fait en agence ou sur https://www.orange.sn/test-fibre Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/3001909-wifi-fibre-partir-14-900-mois"
"E-cartes Orange pour s’abonner à : Netflix, PlayStation Network, Amazon","E-cartes Orange pour s’abonner à : Netflix, PlayStation Network, Amazon La boutique en ligne d’Orange lance une solution de vente de code pour accéder à des plateformes telles que Netflix, PlayStation Network, Amazon etc. Ces cartes virtuelles permettront aux clients d’acheter des cartes PlayStation ou payer des abonnements Netflix exclusivement sur boutique.orange.snTarifs : Netflix 25$ ==> 19.900 Fcfa 30$ ==> 22.900 Fcfa PlayStation : 25€ ==> 19.900 Fcfa 10€ ==> 9.900 Fcfa 50€ ==> 44.900 Fcfa Rendez-vous sur https://boutique.orange.sn/hub/evoucher Pour plus d'information, cliquez sur ces liens: https://assistance.orange.sn/questions/2994251-e-cartes-orange-abonner-netflix-playstation-network-amazon"
